chr	bin	arm	pos	value	disease	change
chr1	chr22:40000000-45000000	1p	7500000	-0.07526881720430108	Bladder	Loss
chr1	chr22:40000000-45000000	1p	7500000	0.09677419354838712	Bladder	Gain
chr1	chr22:40000000-45000000	1p	7500000	-0.06896551724137925	RCC	Loss
chr1	chr22:40000000-45000000	1p	7500000	0	RCC	Gain
chr1	chr22:40000000-45000000	1p	7500000	-0.036363636363636355	Prostate	Loss
chr1	chr22:40000000-45000000	1p	7500000	0	Prostate	Gain
chr1	chr22:35000000-40000000	1p	12500000	-0.0860215053763441	Bladder	Loss
chr1	chr22:35000000-40000000	1p	12500000	0.09677419354838712	Bladder	Gain
chr1	chr22:35000000-40000000	1p	12500000	-0.057471264367816056	RCC	Loss
chr1	chr22:35000000-40000000	1p	12500000	0	RCC	Gain
chr1	chr22:35000000-40000000	1p	12500000	-0.036363636363636355	Prostate	Loss
chr1	chr22:35000000-40000000	1p	12500000	0	Prostate	Gain
chr1	chr22:30000000-35000000	1p	17500000	-0.0860215053763441	Bladder	Loss
chr1	chr22:30000000-35000000	1p	17500000	0.06451612903225809	Bladder	Gain
chr1	chr22:30000000-35000000	1p	17500000	-0.06896551724137925	RCC	Loss
chr1	chr22:30000000-35000000	1p	17500000	0	RCC	Gain
chr1	chr22:30000000-35000000	1p	17500000	-0.036363636363636355	Prostate	Loss
chr1	chr22:30000000-35000000	1p	17500000	0	Prostate	Gain
chr1	chr22:25000000-30000000	1p	22500000	-0.08602150537634409	Bladder	Loss
chr1	chr22:25000000-30000000	1p	22500000	0.07526881720430108	Bladder	Gain
chr1	chr22:25000000-30000000	1p	22500000	-0.06896551724137931	RCC	Loss
chr1	chr22:25000000-30000000	1p	22500000	0	RCC	Gain
chr1	chr22:25000000-30000000	1p	22500000	-0.036363636363636355	Prostate	Loss
chr1	chr22:25000000-30000000	1p	22500000	0	Prostate	Gain
chr1	chr21:35000000-40000000	1p	27500000	-0.07526881720430109	Bladder	Loss
chr1	chr21:35000000-40000000	1p	27500000	0.053763440860215075	Bladder	Gain
chr1	chr21:35000000-40000000	1p	27500000	-0.08045977011494258	RCC	Loss
chr1	chr21:35000000-40000000	1p	27500000	0	RCC	Gain
chr1	chr21:35000000-40000000	1p	27500000	-0.018181818181818177	Prostate	Loss
chr1	chr21:35000000-40000000	1p	27500000	0	Prostate	Gain
chr1	chr21:30000000-35000000	1p	32500000	-0.0860215053763441	Bladder	Loss
chr1	chr21:30000000-35000000	1p	32500000	0.04301075268817205	Bladder	Gain
chr1	chr21:30000000-35000000	1p	32500000	-0.057471264367816056	RCC	Loss
chr1	chr21:30000000-35000000	1p	32500000	0	RCC	Gain
chr1	chr21:30000000-35000000	1p	32500000	-0.018181818181818177	Prostate	Loss
chr1	chr21:30000000-35000000	1p	32500000	0	Prostate	Gain
chr1	chr21:25000000-30000000	1p	37500000	-0.0645161290322581	Bladder	Loss
chr1	chr21:25000000-30000000	1p	37500000	0.05376344086021507	Bladder	Gain
chr1	chr21:25000000-30000000	1p	37500000	-0.057471264367816056	RCC	Loss
chr1	chr21:25000000-30000000	1p	37500000	0	RCC	Gain
chr1	chr21:25000000-30000000	1p	37500000	-0.018181818181818177	Prostate	Loss
chr1	chr21:25000000-30000000	1p	37500000	0	Prostate	Gain
chr1	chr21:20000000-25000000	1p	42500000	-0.05376344086021508	Bladder	Loss
chr1	chr21:20000000-25000000	1p	42500000	0.07526881720430108	Bladder	Gain
chr1	chr21:20000000-25000000	1p	42500000	-0.057471264367816056	RCC	Loss
chr1	chr21:20000000-25000000	1p	42500000	0	RCC	Gain
chr1	chr21:20000000-25000000	1p	42500000	-0.018181818181818177	Prostate	Loss
chr1	chr21:20000000-25000000	1p	42500000	0	Prostate	Gain
chr1	chr21:15000000-20000000	1p	47500000	-0.0645161290322581	Bladder	Loss
chr1	chr21:15000000-20000000	1p	47500000	0.05376344086021507	Bladder	Gain
chr1	chr21:15000000-20000000	1p	47500000	-0.057471264367816056	RCC	Loss
chr1	chr21:15000000-20000000	1p	47500000	0	RCC	Gain
chr1	chr21:15000000-20000000	1p	47500000	-0.018181818181818177	Prostate	Loss
chr1	chr21:15000000-20000000	1p	47500000	0	Prostate	Gain
chr1	chr20:60000000-64444167	1p	52500000	-0.08602150537634409	Bladder	Loss
chr1	chr20:60000000-64444167	1p	52500000	0.07526881720430109	Bladder	Gain
chr1	chr20:60000000-64444167	1p	52500000	-0.057471264367816056	RCC	Loss
chr1	chr20:60000000-64444167	1p	52500000	0	RCC	Gain
chr1	chr20:60000000-64444167	1p	52500000	-0.0090909090909091	Prostate	Loss
chr1	chr20:60000000-64444167	1p	52500000	0	Prostate	Gain
chr1	chr20:55000000-60000000	1p	57500000	-0.05376344086021509	Bladder	Loss
chr1	chr20:55000000-60000000	1p	57500000	0.0860215053763441	Bladder	Gain
chr1	chr20:55000000-60000000	1p	57500000	-0.057471264367816056	RCC	Loss
chr1	chr20:55000000-60000000	1p	57500000	0	RCC	Gain
chr1	chr20:55000000-60000000	1p	57500000	-0.0090909090909091	Prostate	Loss
chr1	chr20:55000000-60000000	1p	57500000	0	Prostate	Gain
chr1	chr20:50000000-55000000	1p	62500000	-0.07526881720430108	Bladder	Loss
chr1	chr20:50000000-55000000	1p	62500000	0.06451612903225809	Bladder	Gain
chr1	chr20:50000000-55000000	1p	62500000	-0.057471264367816056	RCC	Loss
chr1	chr20:50000000-55000000	1p	62500000	0	RCC	Gain
chr1	chr20:50000000-55000000	1p	62500000	-0.0090909090909091	Prostate	Loss
chr1	chr20:50000000-55000000	1p	62500000	0	Prostate	Gain
chr1	chr20:40000000-45000000	1p	67500000	-0.07526881720430106	Bladder	Loss
chr1	chr20:40000000-45000000	1p	67500000	0.0752688172043011	Bladder	Gain
chr1	chr20:40000000-45000000	1p	67500000	-0.057471264367816056	RCC	Loss
chr1	chr20:40000000-45000000	1p	67500000	0	RCC	Gain
chr1	chr20:40000000-45000000	1p	67500000	-0.0090909090909091	Prostate	Loss
chr1	chr20:40000000-45000000	1p	67500000	0	Prostate	Gain
chr1	chr20:35000000-40000000	1p	72500000	-0.07526881720430108	Bladder	Loss
