library	chr	arm	count	total	prop	z
58	chr1	p	2412932	34635949	0.06966553738718116	0.5006382347678106
58	chr1	q	1736831	34635949	0.050145327330283346	0.48154808834533985
58	chr10	p	689142	34635949	0.019896726375246712	-0.4109887371652681
58	chr10	q	1803527	34635949	0.052070956681452556	0.8488110927998713
58	chr11	p	777706	34635949	0.022453722864645632	-0.21857741335553302
58	chr11	q	1014568	34635949	0.02929234016368369	0.8245765575198146
58	chr12	p	198486	34635949	0.005730635531308814	0.6493691496807674
58	chr12	q	1344706	34635949	0.03882399757546704	-0.4054110620563493
58	chr13	q	1770884	34635949	0.05112849658024384	0.029293108440479033
58	chr14	q	655508	34635949	0.018925654382964938	0.4907954034224666
58	chr15	q	920558	34635949	0.026578108196198116	0.46221532168670154
58	chr16	p	457873	34635949	0.013219588699590706	-0.5630910609782755
58	chr16	q	920713	34635949	0.026582583315387143	-0.3043342808625403
58	chr17	p	228360	34635949	0.006593149793585849	-0.48153702648127605
58	chr17	q	829722	34635949	0.0239555151210091	0.2842551172480059
58	chr18	p	227520	34635949	0.006568897534755003	-0.327007619456087
58	chr18	q	764706	34635949	0.022078390287501578	-0.40761503826552026
58	chr19	p	233975	34635949	0.006755264595175377	-0.2773009261969317
58	chr2	p	1139664	34635949	0.032904078938330805	-0.2768796976686982
58	chr2	q	2125231	34635949	0.06135910986587952	0.2785157997166164
58	chr20	p	459854	34635949	0.013276783610000118	0.02169138340447487
58	chr20	q	576769	34635949	0.01665232270667681	0.24301404357233036
58	chr21	q	545528	34635949	0.015750340780326243	0.18956810900801127
58	chr22	q	475591	34635949	0.013731138130501346	0.15375569802451972
58	chr3	p	453543	34635949	0.013094574079665033	0.14381619391250355
58	chr3	q	447565	34635949	0.012921978837652174	0.7482024214577794
58	chr4	p	645655	34635949	0.01864118116122645	-0.8458694774809281
58	chr4	q	2046202	34635949	0.05907740538594741	-0.07345956767771569
58	chr5	p	338456	34635949	0.009771812517682135	-0.2630702320772993
58	chr5	q	558583	34635949	0.016127261302988985	-0.19141248637978517
58	chr6	p	571962	34635949	0.01651353626834362	0.6096090361493434
58	chr6	q	1728211	34635949	0.04989645295990013	-0.42096494847588267
58	chr7	p	1011949	34635949	0.029216725085257515	-0.7868071511981467
58	chr7	q	1434355	34635949	0.041412319899189136	-0.3300252186718309
58	chr8	p	617927	34635949	0.017840625645914883	-0.40274503587356986
58	chr8	q	1112428	34635949	0.03211772831747731	-0.7136316537576493
58	chr9	p	543455	34635949	0.01569048967014012	-0.28428682623175083
58	chr9	q	815304	34635949	0.02353924242121964	0.10838998572642651
73	chr1	p	2358272	34572451	0.06821246199755984	-1.083425733424913
73	chr1	q	1711950	34572451	0.049517750419257225	-1.220783562085669
73	chr10	p	695004	34572451	0.020102826958956425	0.459364470554783
73	chr10	q	1795249	34572451	0.05192715436924041	0.3662288684530213
73	chr11	p	792042	34572451	0.022909628247068742	1.6662930095260184
73	chr11	q	1007174	34572451	0.029132270662557306	-0.5844587140391599
73	chr12	p	196415	34572451	0.0056812576001626265	0.15218814412983236
73	chr12	q	1339362	34572451	0.038740730299972076	-0.7047062440343074
73	chr13	q	1783733	34572451	0.05159405678237855	0.6424748011361351
73	chr14	q	646546	34572451	0.01870119072552883	-0.8176761975927747
73	chr15	q	897295	34572451	0.025954046474749505	-0.963216184978631
73	chr16	p	470166	34572451	0.013599440780174943	0.46457501736640666
73	chr16	q	914734	34572451	0.02645846544116875	-0.5867882974877149
73	chr17	p	226186	34572451	0.0065423767611963645	-0.8588870634218654
73	chr17	q	806290	34572451	0.02332174829027887	-0.7592955939474688
73	chr18	p	230639	34572451	0.0066711787370817306	0.9528915473412044
73	chr18	q	784378	34572451	0.022687948852686202	0.8915420573683891
73	chr19	p	236108	34572451	0.006829368273600272	-0.08205572268855194
73	chr2	p	1149869	34572451	0.033259689919005166	1.915115658766334
73	chr2	q	2122480	34572451	0.06139223394951084	0.34480672875602325
73	chr20	p	454289	34572451	0.013140202295752766	-1.0634602518146117
73	chr20	q	561548	34572451	0.016242643600825408	-1.0585255851947215
73	chr21	q	539940	34572451	0.015617637291611173	-0.32609590962542745
73	chr22	q	459516	34572451	0.013291392039285846	-0.8630535920408181
73	chr3	p	450361	34572451	0.013026585821178834	-0.2789402407410041
73	chr3	q	449058	34572451	0.012988896853162074	1.5497616190027201
73	chr4	p	658406	34572451	0.019044238431345235	0.8004879267369395
73	chr4	q	2050984	34572451	0.059324228993773105	0.14507394165371418
73	chr5	p	343993	34572451	0.009949916481189026	1.484744368029332
73	chr5	q	555214	34572451	0.016059434143098503	-0.7568644008661191
73	chr6	p	551540	34572451	0.015953164558682866	-1.0003825073974837
73	chr6	q	1751578	34572451	0.0506639809830087	1.0541552848960016
